date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,Name
2020-11-25,550.06,574.0,545.37,574.0,574.0,48930162,0.0,1.0,TSLA
2020-11-24,540.4,559.99,526.2,555.38,555.38,52058771,0.0,1.0,TSLA
2020-11-23,503.5,526.0,501.79,521.85,521.85,50260304,0.0,1.0,TSLA
2020-11-20,497.99,502.5,489.06,489.61,489.61,32911922,0.0,1.0,TSLA
2020-11-19,492.0,508.6112,487.57,499.27,499.27,62475346,0.0,1.0,TSLA
2020-11-18,448.35,496.0,443.5001,486.64,486.64,78044024,0.0,1.0,TSLA
2020-11-17,460.17,462.0,433.01,441.61,441.61,61188281,0.0,1.0,TSLA
2020-11-16,408.93,412.45,404.0868,408.09,408.09,26838635,0.0,1.0,TSLA
2020-11-13,410.85,412.5319,401.66,408.5,408.5,19830351,0.0,1.0,TSLA
2020-11-12,415.05,423.0,409.52,411.76,411.76,19940500,0.0,1.0,TSLA
2020-11-11,416.45,418.695,410.58,417.13,417.13,17357722,0.0,1.0,TSLA
2020-11-10,420.09,420.09,396.0301,410.36,410.36,30284224,0.0,1.0,TSLA
2020-11-09,439.5,452.5,421.0,421.26,421.26,34833025,0.0,1.0,TSLA
2020-11-06,436.1,436.57,424.28,429.95,429.95,21706014,0.0,1.0,TSLA
2020-11-05,428.3,440.0,424.0001,438.09,438.09,28414523,0.0,1.0,TSLA
2020-11-04,430.62,435.4,417.1,420.98,420.98,32143057,0.0,1.0,TSLA
2020-11-03,409.73,427.77,406.69,423.9,423.9,34351715,0.0,1.0,TSLA
2020-11-02,394.0,406.9799,392.3,400.51,400.51,29021118,0.0,1.0,TSLA
2020-10-30,406.8954,407.5915,379.11,388.04,388.04,42587639,0.0,1.0,TSLA
2020-10-29,409.96,418.06,406.46,410.83,410.83,22655308,0.0,1.0,TSLA
2020-10-28,416.48,418.6,406.0,406.02,406.02,25451409,0.0,1.0,TSLA
2020-10-27,423.76,430.5,420.1,424.68,424.68,22686506,0.0,1.0,TSLA
2020-10-26,411.63,425.76,410.0,420.28,420.28,28239161,0.0,1.0,TSLA
2020-10-23,421.84,422.8859,407.3801,420.63,420.63,33716980,0.0,1.0,TSLA
2020-10-22,441.92,445.23,424.51,425.79,425.79,39993191,0.0,1.0,TSLA
2020-10-21,422.7,432.95,421.25,422.64,422.64,32370461,0.0,1.0,TSLA
2020-10-20,431.75,431.75,419.0501,421.94,421.94,31656289,0.0,1.0,TSLA
2020-10-19,446.24,447.0,428.87,430.83,430.83,36287843,0.0,1.0,TSLA
2020-10-16,454.44,455.9499,438.85,439.67,439.67,32775879,0.0,1.0,TSLA
2020-10-15,450.31,456.57,442.5,448.88,448.88,35672354,0.0,1.0,TSLA
2020-10-14,449.78,465.9,447.35,461.3,461.3,48045394,0.0,1.0,TSLA
2020-10-13,443.35,448.89,436.6,446.65,446.65,34463665,0.0,1.0,TSLA
2020-10-12,442.0,448.74,438.58,442.3,442.3,38791133,0.0,1.0,TSLA
2020-10-09,430.13,434.5899,426.4601,434.0,434.0,28925656,0.0,1.0,TSLA
2020-10-08,438.44,439.0,425.3,425.92,425.92,40421116,0.0,1.0,TSLA
2020-10-07,419.87,429.9,413.845,425.3,425.3,43127709,0.0,1.0,TSLA
2020-10-06,423.79,428.7799,406.05,413.98,413.98,49146259,0.0,1.0,TSLA
2020-10-05,423.35,433.64,419.33,425.68,425.68,44722786,0.0,1.0,TSLA
2020-10-02,421.39,439.13,415.0,415.09,415.09,71430025,0.0,1.0,TSLA
2020-10-01,440.76,448.88,434.42,448.16,448.16,50741454,0.0,1.0,TSLA
2020-09-30,421.32,433.93,420.47,429.01,429.01,48145566,0.0,1.0,TSLA
2020-09-29,416.0,428.5,411.6,419.07,419.07,50341404,0.0,1.0,TSLA
2020-09-28,424.62,428.08,415.55,421.2,421.2,49719561,0.0,1.0,TSLA
