,TSLA,INTC,AMD,AAPL,MSFT,SPY,GOOG,FB,IBM
2014-03-27,41.464,21.0184784826,3.91,17.2263897571,34.295099683400004,162.358036344,558.46,60.97,145.173820343
2014-03-28,42.474,21.2759153981,3.88,17.2071588676,35.1141391575,163.158479583,559.99,60.01,145.64796968
2014-03-31,41.69,21.4370210806,4.01,17.2033126897,35.7153489843,164.495483675,556.97,60.24,147.20807395
2014-04-01,43.394,21.583178813299998,4.07,17.3606854686,36.0900159778,165.58619753899998,567.16,62.62,148.74523551
2014-04-02,46.058,21.500134647,4.06,17.3895318028,36.0290236765,166.140350551,567.0,62.72,148.018716364
2014-04-03,45.08,21.931964311599998,4.0,17.2690182288,35.7327753561,165.92044856200002,569.74,59.49,147.361025349
2014-04-04,42.445,21.724353895900002,4.01,17.045619396099998,34.739472164,163.958922823,543.14,56.749,146.657448913
2014-04-07,41.504,21.9942474363,3.88,16.7779895176,34.6784798627,162.146930435,538.15,56.95,148.760530649
2014-04-08,43.092,22.3471851429,3.99,16.7770279732,34.6959062345,162.81543248100002,554.9,58.1901,147.819879546
2014-04-09,43.386,22.4053160593,3.98,16.9975421724,35.2622633177,164.565852312,564.14,62.41,150.38181547899998
2014-04-10,40.838,21.944420936500002,3.85,16.7783100325,34.295099683400004,161.108993048,540.95,59.16,149.647648764
2014-04-11,40.756,21.740879685,3.65,16.6542707954,34.1635305763,159.65763992200002,530.6,58.53,149.272917836
2014-04-14,39.618,22.056530561,3.71,16.7206173641,34.1382623372,160.91547929799998,532.52,58.89,151.245990883
2014-04-15,38.782,22.2309233102,3.79,16.6013826442,34.6349139333,162.023785321,536.44,59.09,150.672423137
2014-04-16,39.822,22.3637939762,3.76,16.635039905899998,35.2012710164,163.721428675,556.54,59.72,150.1982738
2014-04-17,39.624,22.455142559099997,3.69,16.8251051968,34.8614567665,163.950126743,536.1,58.94,145.311476602
2014-04-21,40.876,22.3804028094,4.12,17.0247859325,34.8004644653,164.521871914,528.62,61.24,147.039827411
2014-04-22,43.728,22.2890542265,4.3,17.0417411667,34.8440303947,165.269538676,534.81,63.0301,146.948056572
2014-04-23,41.598,22.2143144769,4.25,16.8190154152,34.5826348179,164.882511175,526.94,61.36,146.626858634
